Employee ID,Employee Name,Age,Gender,Marital Status,Having Degree,Job Role,Department,Work From,Work To,Tenure,Salary,Bonus,Claims,Worked Project,No of Leaves,Distance,No of Parents,No of Children,No of Complaints,Reason to Leave,Churn
2085,2128,19,0,1,0,0,0,2249,1628,11,0,0,2062,2,15,103,1,0,5,7,1
2096,2490,3,0,1,0,12,1,35,1059,26,3,525,2237,12,4,1365,1,0,5,5,1
2107,1111,14,0,1,0,3,6,1238,605,39,6,572,2173,7,17,960,2,0,5,7,1
2118,1605,15,0,0,1,10,3,895,1811,18,16,344,1037,5,17,124,0,4,3,2,1
2129,812,22,1,1,1,2,1,625,1216,17,11,578,768,3,14,472,2,0,0,0,0
2140,495,18,1,1,1,14,5,728,1734,21,18,428,395,7,3,936,2,0,3,5,1
2151,633,13,1,0,0,12,1,814,1250,14,3,523,241,12,13,2484,2,3,4,4,1
2162,785,9,0,0,0,11,3,631,98,0,2,608,671,0,5,1880,0,5,2,2,1
2173,81,13,1,0,1,17,6,1628,1055,39,12,425,1195,3,7,119,2,0,1,0,0
2184,100,18,0,0,0,6,3,1860,1636,42,2,797,1993,1,8,1935,3,3,3,2,1
2196,1534,30,1,1,1,8,3,1289,932,1,14,982,546,6,20,355,2,0,1,0,0
2207,751,20,1,0,0,12,1,793,1538,18,3,629,2352,9,11,1449,0,3,3,0,0
2218,1905,11,0,0,1,16,1,1900,2334,4,13,1197,123,2,19,2645,1,0,3,7,1
2229,2484,8,0,1,0,12,1,1415,1611,7,3,548,551,4,13,2220,0,0,5,7,1
2240,1371,13,0,0,1,14,5,319,1735,28,18,802,1985,11,13,775,2,2,1,2,1
2251,758,13,0,0,1,19,3,1228,1484,9,19,86,392,7,3,2211,4,3,1,2,1
2262,608,9,0,0,0,6,3,937,475,41,2,459,807,2,11,89,1,3,3,2,1
2273,651,5,0,1,0,9,3,888,259,22,4,543,600,11,5,1676,2,0,4,7,1
2284,2277,29,0,1,0,15,1,2328,2036,33,8,922,654,9,10,1889,1,0,3,7,1
2295,2552,16,1,1,1,17,6,1972,1436,38,12,1294,1346,10,0,1910,2,0,2,0,0
2307,184,12,1,1,0,3,6,1859,1487,41,6,822,1411,9,9,492,2,0,0,0,0
2318,917,9,0,1,0,13,6,1068,1261,9,7,703,1724,12,14,1500,0,0,3,7,1
2329,905,9,0,0,1,19,3,1316,2377,16,19,104,619,7,14,2585,4,5,1,2,1
2340,208,15,1,1,0,9,3,2308,1601,0,4,511,1907,0,16,1932,1,0,0,0,0
2351,847,26,0,1,1,18,4,540,547,8,17,898,1623,7,11,1089,2,0,5,7,1
2362,1822,26,0,1,0,0,0,276,39,33,0,0,1562,3,18,10,2,0,1,5,1
2373,318,30,1,0,0,15,1,1612,1533,3,8,855,2332,8,3,475,3,1,3,0,0
2384,1678,7,0,1,1,24,6,718,1347,17,15,869,1221,1,17,1440,0,0,4,7,1
2395,1945,0,0,0,0,13,6,908,1101,10,7,1104,1386,1,17,2512,0,2,1,5,1
2406,1767,4,0,1,0,15,1,1755,1057,38,8,1055,1936,11,7,2029,1,0,5,7,1
2418,183,27,0,1,1,17,6,2012,1504,38,12,401,1125,4,17,981,2,0,4,7,1
2429,2405,20,1,1,0,3,6,2227,1550,11,6,875,1410,11,10,697,0,0,6,5,1
2440,1207,27,1,1,1,24,6,250,126,41,15,425,1986,3,2,1184,2,0,3,0,0
2451,756,4,0,0,0,11,3,1820,1899,3,2,563,2309,10,2,2059,3,5,2,6,1
2462,436,7,0,1,0,11,3,618,960,14,2,544,984,8,16,1981,0,0,3,7,1
2473,1772,4,0,0,0,3,6,1974,1265,22,6,718,722,7,16,2389,3,0,3,7,1
2484,2087,25,0,0,1,2,1,33,24,39,11,579,1453,0,7,2189,1,1,2,2,1
2495,166,10,1,0,0,12,1,130,347,9,3,412,1699,1,16,789,0,5,2,4,1
2506,2161,20,1,1,0,15,1,648,307,42,8,1102,2265,6,18,2404,1,0,0,0,0
2517,2394,14,1,1,0,9,3,231,49,38,4,546,1542,0,10,2597,0,0,1,0,0
2529,2179,30,0,0,0,0,0,1236,863,1,0,0,2176,11,3,1382,1,1,2,2,1
2540,2399,0,1,1,0,12,1,275,190,2,3,367,1745,7,6,496,0,0,1,3,1
2551,2395,8,0,1,0,21,6,2055,2253,2,2,598,119,11,6,1550,2,0,4,7,1
2562,552,8,0,0,0,3,6,36,386,13,6,830,82,10,9,2405,0,2,3,2,1
2573,1414,26,0,1,1,1,1,2142,1663,33,20,1016,2000,11,16,377,1,0,5,7,1
2584,1856,18,0,0,0,0,0,677,839,12,0,0,1111,5,0,771,2,0,2,2,1
2595,209,28,0,1,0,12,1,1425,1793,8,3,514,1060,11,4,1145,0,0,5,7,1
2606,2004,7,0,0,1,0,0,355,194,42,0,0,1408,9,12,404,2,0,3,2,1
2617,823,21,0,0,1,7,3,402,153,40,9,138,1644,9,5,738,0,0,5,7,1
2628,2027,18,1,1,0,11,3,1855,946,0,2,318,371,5,0,553,0,0,2,0,0
2640,1666,17,1,1,1,1,1,2426,2374,39,20,1098,397,12,3,108,1,0,1,0,0
2651,967,26,0,0,1,24,6,881,786,6,15,406,889,1,7,2069,1,5,2,2,1
2662,477,25,1,1,0,21,6,256,1991,31,2,763,1187,11,11,643,0,0,3,0,0
2673,1436,17,0,1,0,15,1,297,445,8,8,1119,336,7,3,1737,1,0,5,7,1
2684,1632,4,0,1,0,21,6,735,802,9,2,549,152,11,10,1823,0,0,5,7,1
2695,202,1,1,1,1,7,3,80,152,3,9,35,833,6,2,1498,0,0,0,0,0
2706,2272,13,0,1,0,21,6,2126,1813,39,2,418,932,7,11,2198,0,0,4,7,1
2717,1468,0,1,1,0,15,1,2176,1328,0,8,1150,2254,5,20,506,2,0,0,0,0
2728,1008,22,0,1,0,11,3,87,261,7,2,278,973,3,16,2481,2,0,4,7,1
2739,1364,4,1,1,0,3,6,2200,2146,40,6,842,1110,6,1,2256,1,0,3,0,0
2,62,6,0,1,0,12,1,1853,1935,2,3,326,2289,12,19,1421,2,0,5,7,1
13,841,15,1,1,0,3,6,22,290,9,6,656,2358,1,3,2693,2,0,0,0,0
24,566,3,0,1,0,15,1,1320,847,42,8,851,468,1,17,1485,2,0,8,5,1
35,497,27,0,1,0,20,6,2132,1380,22,5,873,1318,9,5,2249,1,0,5,7,1
46,130,20,1,1,0,20,6,1950,1816,41,5,813,2320,6,17,2573,1,0,3,0,0
57,831,20,0,1,0,20,6,183,449,10,5,642,1176,11,17,1054,1,0,4,7,1
68,389,25,1,0,0,3,6,556,2160,27,6,463,577,9,16,1913,2,0,1,0,0
79,2310,22,0,0,1,1,1,372,263,2,20,72,169,5,1,2434,4,4,2,2,1
90,2350,25,0,1,0,11,3,2457,2260,33,2,447,1427,7,18,20,1,0,0,0,0
101,714,6,0,1,1,19,3,2258,1928,33,19,92,349,4,19,2475,1,0,4,7,1
113,1363,8,1,1,0,6,3,2032,1402,33,2,666,207,1,6,1307,0,0,1,3,1
124,299,6,1,1,0,6,3,2234,2019,39,2,478,453,9,16,1213,1,0,1,3,1
135,1018,25,0,1,0,12,1,193,6,0,3,330,2190,9,5,271,0,0,5,7,1
146,795,1,1,0,0,9,3,335,75,38,4,599,1241,11,8,2248,0,1,2,0,0
157,859,19,0,1,1,0,0,2208,1577,11,0,0,850,1,4,557,0,0,5,7,1
168,955,20,0,1,1,19,3,1354,1586,7,19,747,679,3,3,2419,0,0,5,7,1
179,1185,26,1,0,0,13,6,1347,2003,12,7,1039,91,11,6,201,4,3,2,0,0
190,2261,29,0,1,0,12,1,2222,2288,41,3,469,958,4,5,1493,0,0,3,7,1
201,2205,30,0,0,0,15,1,722,657,6,8,811,1009,5,10,1012,0,0,4,7,1
212,2451,18,0,0,1,2,1,878,1481,16,11,1312,149,7,2,1502,4,2,1,2,1
224,472,21,1,0,1,10,3,2361,2027,33,16,513,1276,12,11,1747,1,0,0,0,0
235,1981,22,0,1,0,9,3,100,432,13,4,572,1496,12,19,2437,1,0,3,0,0
246,287,23,0,1,0,15,1,1478,2333,12,8,1133,2064,5,2,1977,1,0,5,7,1
257,2239,5,0,1,0,0,0,512,379,4,0,0,2350,2,9,2131,0,0,4,7,1
268,570,26,0,1,0,9,3,1195,1309,8,4,569,1867,4,9,1186,2,0,5,7,1
279,196,9,1,1,0,12,1,1778,1964,4,3,454,828,1,8,1547,2,0,2,3,1
290,1933,27,0,1,0,20,6,1763,1785,3,5,818,1797,6,11,2088,1,0,4,7,1
301,1844,25,1,0,1,4,1,606,273,42,1,129,1517,6,0,1022,3,4,1,0,0
312,2257,7,0,1,0,15,1,2064,1199,11,8,818,1567,0,10,873,0,0,4,7,1
323,1860,18,1,1,0,21,6,226,60,39,2,662,1891,5,19,2663,1,0,2,5,1
335,2030,2,0,1,1,23,4,479,1064,18,21,930,499,8,14,1169,1,0,2,0,0
346,2368,27,0,1,0,15,1,462,704,12,8,1156,2270,2,12,1094,1,0,4,7,1
357,305,0,0,1,0,21,6,1568,1143,42,2,797,1701,4,9,1471,0,0,2,0,0
368,1359,4,0,1,1,17,6,1987,1492,39,12,923,1272,2,12,1797,0,0,3,7,1
379,1194,15,0,1,1,0,0,2323,1846,22,0,0,1898,9,0,1940,0,0,5,7,1
390,2336,25,0,0,0,15,1,190,363,8,8,949,1143,7,17,1193,4,4,2,2,1
401,1661,3,1,1,1,18,4,289,2265,32,17,699,1240,10,19,878,2,0,0,0,0
412,79,15,1,1,0,3,6,1814,1073,33,6,952,1209,10,9,562,1,0,0,0,0
423,2113,9,1,0,1,0,0,1484,915,40,0,0,583,1,15,1973,0,4,7,4,1
434,93,5,1,1,0,13,6,1878,1824,42,7,920,2275,6,18,393,0,0,0,0,0
446,876,17,0,1,0,12,1,325,100,39,3,474,1116,1,6,2555,2,0,5,7,1
457,2233,0,1,1,1,8,3,1932,1185,22,14,15,723,12,4,744,1,0,4,5,1
468,1955,17,0,1,0,15,1,2018,1256,11,8,1009,1205,8,6,1808,0,0,5,7,1
479,1256,0,0,0,0,15,1,1693,1300,42,8,1184,1706,1,7,2125,0,4,8,5,1
490,1952,9,0,1,1,19,3,232,144,42,19,44,1806,10,20,1542,1,0,2,0,0
501,2332,17,0,0,1,23,4,2336,2017,33,21,216,2125,0,19,2428,3,5,2,2,1
512,1679,9,1,1,0,20,6,1773,896,0,5,577,1660,5,0,235,1,0,3,5,1
523,2500,21,0,1,1,22,3,2235,2349,41,10,1106,49,6,15,221,2,0,5,7,1
534,885,10,1,1,0,3,6,2288,1634,11,6,582,509,5,5,517,0,0,2,0,0
545,1665,11,0,1,1,2,1,336,218,2,11,150,1478,8,2,1636,0,0,5,7,1
557,2261,18,1,0,0,3,6,633,590,7,6,506,757,1,5,1971,4,3,7,5,1
568,128,13,0,1,0,13,6,2295,1515,0,7,662,1237,7,4,424,2,0,5,7,1
579,228,2,0,1,0,21,6,534,185,39,2,478,929,6,7,872,1,0,2,0,0
590,737,13,1,1,0,13,6,491,120,33,7,761,1588,7,16,2226,1,0,3,0,0
601,2409,29,0,0,1,24,6,617,321,1,15,249,262,8,0,1109,4,2,2,2,1
612,2095,19,1,0,0,20,6,1749,2098,6,5,737,2119,11,15,743,4,1,2,0,0
623,968,2,1,1,0,9,3,1583,865,38,4,613,1690,4,6,1748,1,0,0,0,0
634,137,12,0,0,0,9,3,937,720,4,4,474,1029,12,18,47,3,4,1,2,1
645,1854,12,1,1,1,1,1,541,431,5,20,132,1979,11,0,87,0,0,1,5,1
656,1357,22,0,1,0,9,3,1591,1522,4,4,629,2110,3,4,1608,0,0,5,7,1
668,1388,27,1,1,1,19,3,151,170,3,19,756,1458,8,12,2461,0,0,2,0,0
679,394,7,1,1,0,3,6,1509,628,11,6,640,1413,2,16,524,1,0,6,5,1
690,1697,20,0,1,0,15,1,635,974,13,8,868,2081,7,18,42,2,0,4,7,1
701,256,25,1,1,0,6,3,2052,1820,40,2,500,329,6,0,805,0,0,3,0,0
712,2100,21,1,1,0,3,6,2321,2045,33,6,707,1013,6,4,1263,0,0,0,0,0
723,1073,21,0,1,0,15,1,2497,2350,33,8,893,1752,12,7,1896,1,0,4,7,1
734,1412,16,0,1,0,21,6,146,473,13,2,804,721,7,14,621,2,0,3,7,1
745,819,19,0,1,1,10,3,1207,870,2,16,396,50,5,6,1260,2,0,4,7,1
756,380,20,1,0,0,6,3,2198,2168,40,2,785,1977,4,14,685,3,4,4,5,1
767,2362,12,0,0,0,12,1,73,262,7,3,269,89,10,2,2191,0,2,2,2,1
779,613,24,1,1,0,11,3,2298,2073,38,2,269,990,4,12,1357,0,0,8,5,1
790,409,11,0,1,1,8,3,315,101,39,14,1189,1350,9,17,1900,1,0,3,7,1
801,695,4,1,0,1,24,6,2327,2362,39,15,381,967,6,20,2375,3,3,1,5,1
812,1629,14,0,0,0,20,6,1906,1030,0,5,589,79,10,9,929,2,4,3,2,1
823,2520,13,1,0,1,4,1,1495,1241,2,1,359,292,8,12,1893,1,4,2,0,0
834,441,8,0,1,1,17,6,1729,2303,7,12,915,1668,12,7,1537,0,0,3,0,0
845,2382,24,0,1,1,18,4,125,52,40,17,309,259,0,16,2201,1,0,4,7,1
856,2240,14,0,0,0,13,6,1270,1140,5,7,1141,92,4,0,68,2,4,1,2,1
867,2166,24,1,0,0,13,6,1477,1670,6,7,1099,1971,8,5,2571,0,1,0,0,0
878,1315,29,1,1,1,23,4,1796,1597,1,21,167,760,1,12,1127,0,0,2,0,0
890,2229,25,0,1,0,3,6,403,80,33,6,455,1499,5,6,1987,2,0,4,7,1
901,480,8,1,1,1,14,5,521,503,7,18,738,1204,5,10,1790,0,0,0,0,0
912,2437,12,0,1,1,5,2,2092,1738,39,10,258,26,2,0,1972,0,0,4,7,1
923,1130,6,0,1,0,12,1,2077,2128,42,3,533,2015,6,9,1952,2,0,5,7,1
934,786,1,1,1,1,4,1,1929,1660,41,1,3,1074,1,8,2065,0,0,2,0,0
945,840,24,0,1,0,12,1,5,981,25,3,571,1559,2,5,924,0,0,0,0,0
956,1430,7,1,1,0,15,1,1143,1412,10,8,1133,83,11,0,751,0,0,3,0,0
967,367,23,0,1,0,21,6,127,1451,28,2,500,1953,7,11,1350,1,0,4,7,1
978,532,24,0,0,0,9,3,370,1085,19,4,588,184,11,6,1736,3,1,1,2,1
989,1551,23,0,1,0,3,6,2284,1585,0,6,917,225,9,13,1664,0,0,4,7,1
1001,710,20,0,1,1,7,3,799,325,40,9,1211,107,0,20,356,1,0,4,7,1
1012,2338,11,0,1,0,6,3,1616,1180,41,2,815,1378,11,6,204,1,0,3,7,1
1023,1810,1,1,0,0,3,6,1131,392,22,6,459,687,4,3,28,3,2,3,0,0
1034,1462,26,1,1,0,21,6,1598,1725,5,2,782,1835,0,19,2016,2,0,2,0,0
1045,2203,4,1,1,0,13,6,433,490,7,7,1005,1582,9,18,463,2,0,2,0,0
1056,2253,5,0,1,0,11,3,1240,891,1,2,383,1870,0,7,1234,0,0,7,5,1
1067,2541,20,0,1,0,9,3,1886,2229,3,4,498,146,12,7,1256,2,0,5,7,1
1078,2054,14,0,1,0,20,6,4,573,17,5,503,317,11,15,1482,0,0,4,7,1
1089,1224,1,0,1,0,13,6,1770,1360,40,7,970,2298,0,5,51,1,0,0,0,0
1100,1566,1,0,1,0,11,3,2422,2207,33,2,544,250,1,20,1865,0,0,0,0,0
1113,1082,10,0,1,1,4,1,1253,1025,3,1,1313,1485,5,0,1991,0,0,4,7,1
1124,872,5,1,1,1,18,4,967,1054,8,17,437,1233,8,4,1936,1,0,3,0,0
1135,1495,6,0,1,0,9,3,1046,1823,15,4,580,219,3,8,2279,0,0,3,7,1
1146,2071,0,0,0,0,13,6,2075,1855,40,7,677,1103,10,9,1250,1,1,2,0,0
1157,1554,16,0,1,0,9,3,775,372,42,4,463,1942,7,15,1628,0,0,5,7,1
1168,2025,11,1,0,0,12,1,69,210,5,3,597,1236,7,13,1788,2,3,7,4,1
1179,2543,5,0,1,0,0,0,927,356,39,0,0,895,11,19,2267,0,0,4,7,1
1190,670,2,0,1,0,21,6,2449,1969,11,2,787,1760,6,3,1401,1,0,6,5,1
1201,2523,2,0,1,0,3,6,2334,1652,0,6,861,356,6,4,1371,1,0,1,0,0
1212,159,0,1,0,0,12,1,2182,2020,39,3,592,22,10,2,1337,0,4,3,4,1
1224,652,20,1,0,1,2,1,690,1267,16,11,910,726,11,15,1334,2,5,8,5,1
1235,133,9,0,0,1,10,3,1862,1848,2,16,101,271,8,3,2038,4,4,1,2,1
1246,1108,11,1,1,1,1,1,2205,1667,22,20,1108,137,12,0,1029,0,0,2,5,1
1257,1637,19,0,1,0,9,3,1142,345,11,4,562,1440,4,0,1396,1,0,4,7,1
1268,1167,13,0,1,0,9,3,2406,2185,33,4,478,2278,6,12,997,1,0,5,7,1
1279,719,3,0,1,0,0,0,1336,1565,8,0,0,2259,1,12,1667,2,0,2,0,0
1290,2473,22,0,0,1,16,1,555,638,8,13,434,1053,2,10,1130,3,4,2,2,1
1301,1442,3,1,1,1,16,1,1735,792,0,13,1232,1024,10,10,622,2,0,2,0,0
1312,2201,2,1,0,1,7,3,821,880,8,9,298,2092,9,1,2386,2,2,2,4,1
1323,416,3,0,1,0,3,6,243,1704,28,6,715,1865,10,17,2086,0,0,3,0,0
1335,2507,30,1,1,0,9,3,2261,2087,38,4,600,1047,12,15,1849,2,0,6,5,1
1346,742,14,1,0,0,9,3,2009,1265,11,4,569,993,12,20,859,1,1,0,0,0
1357,982,8,0,1,0,3,6,1098,299,0,6,535,1383,6,6,1215,1,0,2,0,0
1368,176,3,0,1,0,6,3,31,1252,28,2,882,326,1,7,1124,0,0,6,5,1
1379,262,11,0,1,0,21,6,93,808,20,2,771,1229,10,14,7,0,0,2,5,1
1390,5,13,1,1,1,22,3,1288,462,0,10,1149,1443,6,10,894,2,0,4,5,1
1401,983,8,1,1,0,9,3,1794,1148,38,4,474,2297,11,8,2120,2,0,1,0,0
1412,1040,13,0,1,0,15,1,1254,893,1,8,815,1301,8,10,2633,2,0,5,7,1
1423,476,9,1,1,0,15,1,1171,1403,9,8,808,1097,6,5,650,2,0,0,0,0
1434,647,9,0,0,0,21,6,283,43,22,2,293,1860,0,5,1948,1,0,3,6,1
1446,1989,17,1,1,1,19,3,489,2358,29,19,135,450,5,12,1047,2,0,2,0,0
1457,381,0,0,0,0,0,0,233,1198,24,0,0,1491,4,7,59,3,4,2,0,0
1468,1066,7,0,1,0,11,3,1861,2122,4,2,560,52,11,9,961,2,0,4,7,1
1479,1733,25,0,1,0,13,6,2027,2126,1,7,1071,1720,9,11,2562,0,0,5,7,1
1490,1302,19,0,1,1,10,3,2005,1120,11,16,1305,1098,5,13,186,0,0,5,7,1
1501,1775,2,0,1,0,6,3,843,1489,17,2,554,371,11,19,1492,2,0,1,0,0
1512,1307,27,1,1,0,15,1,840,278,38,8,1059,1091,2,2,667,0,0,8,5,1
1523,649,12,0,1,0,6,3,86,858,21,2,728,1656,4,13,2263,0,0,4,7,1
1534,254,18,0,0,0,6,3,1026,507,41,2,500,2303,4,10,344,1,4,1,2,1
1545,1883,1,0,1,0,9,3,1627,1513,3,4,546,2175,5,11,755,0,0,2,0,0
1557,1818,4,0,1,0,9,3,172,891,19,4,597,752,10,5,448,2,0,3,7,1
1568,578,17,1,1,1,24,6,1273,984,3,15,325,664,2,7,1877,1,0,0,0,0
1579,14,9,0,1,0,21,6,2478,1896,0,2,671,605,11,10,2150,2,0,2,5,1
1590,2429,30,0,0,0,9,3,2121,1220,0,4,634,778,7,14,1639,2,5,1,2,1
1601,358,9,1,0,0,13,6,2430,2214,33,7,769,1670,11,1,573,4,5,3,0,0
1612,1658,0,0,1,0,13,6,1426,954,41,7,679,1510,4,5,2318,0,0,7,5,1
1623,1189,29,1,0,0,13,6,1953,2013,1,7,1136,1929,4,10,225,1,3,2,0,0
1634,1762,15,0,1,0,21,6,1324,2104,14,2,506,1154,12,20,247,1,0,3,7,1
1645,1836,26,0,0,0,9,3,47,1437,30,4,616,1500,11,18,2564,0,3,2,2,1
1656,2435,22,0,0,0,20,6,1519,1978,9,5,520,631,8,12,2163,2,4,1,2,1
1668,847,3,1,1,0,3,6,1130,1014,5,6,899,2034,10,7,233,0,0,3,0,0
1679,2147,23,1,0,0,12,1,2313,2302,39,3,544,507,10,12,2223,0,1,1,0,0
1690,1656,11,0,1,0,3,6,2054,1383,33,6,912,1293,2,20,2012,1,0,4,7,1
1701,2321,23,0,1,0,9,3,505,119,33,4,629,42,8,6,293,1,0,2,0,0
1712,443,28,1,1,0,6,3,1681,1539,2,2,776,1186,4,11,2367,2,0,3,0,0
1723,2174,4,1,0,0,21,6,92,732,19,2,429,939,12,1,673,1,1,4,5,1
1734,1774,13,1,1,0,21,6,2192,2300,41,2,426,284,10,8,2066,1,0,0,3,1
1745,154,25,0,0,0,11,3,1272,2199,15,2,275,648,8,15,1195,0,0,3,6,1
1756,2448,8,1,0,0,6,3,1713,2115,6,2,897,628,1,4,2699,1,3,2,4,1
1767,554,7,0,1,0,15,1,886,714,5,8,1021,1359,10,12,2276,0,0,3,7,1
1779,1177,16,0,1,0,20,6,660,531,5,5,662,1012,1,11,564,0,0,4,7,1
1790,1487,15,0,1,0,3,6,547,88,22,6,539,1397,6,19,519,1,0,4,7,1
1801,1366,5,0,1,0,21,6,894,350,39,2,402,2355,3,17,2387,0,0,3,7,1
1812,1220,3,0,1,1,16,1,1386,1747,9,13,1173,423,6,1,2443,0,0,1,0,0
1823,2057,3,0,1,0,6,3,379,240,1,2,751,197,6,14,452,1,0,2,0,0
1834,226,29,1,0,0,3,6,622,508,6,6,854,390,11,18,305,3,4,0,0,0
1845,1512,17,0,0,0,15,1,1624,888,33,8,856,1061,10,0,1369,3,4,3,2,1
1856,1455,20,0,1,0,9,3,344,1857,28,4,484,518,7,19,696,1,0,5,7,1
1867,15,26,0,1,0,15,1,161,1269,26,8,958,181,10,17,2137,1,0,3,0,0
1878,1101,22,0,1,1,0,0,245,1960,31,0,0,912,7,17,495,2,0,4,7,1
1890,1538,24,0,1,0,13,6,419,337,3,7,1046,278,4,7,2482,2,0,3,7,1
1901,1329,2,1,1,0,12,1,2306,1669,0,3,345,2055,12,7,1157,1,0,0,8,1
1912,781,0,0,1,1,2,1,64,710,18,11,914,345,6,12,1804,2,0,1,5,1
1923,2039,14,1,0,1,10,3,593,77,0,16,734,1536,6,5,1551,3,0,2,0,0
1934,2017,23,1,0,1,7,3,308,1077,20,9,515,1327,11,2,471,4,5,4,5,1
1945,1240,5,0,0,0,0,0,467,1563,24,0,0,2253,4,10,841,2,1,2,6,1
1947,1652,19,0,1,0,21,6,39,4,33,2,629,359,4,3,2515,0,0,4,7,1
1948,916,5,0,0,1,5,2,1057,1837,16,10,139,1228,5,0,1580,1,2,4,7,1
1949,1901,20,0,1,0,3,6,2294,1483,0,6,800,159,1,3,539,0,0,3,7,1
1950,1067,7,0,0,0,13,6,883,211,0,7,873,1092,1,1,1351,4,3,3,2,1
1952,2098,22,0,1,0,12,1,1867,1121,33,3,542,1082,6,8,195,0,0,4,7,1
1953,907,27,0,1,1,8,3,1960,2213,2,14,286,1564,7,6,731,0,0,4,7,1
1954,975,0,0,1,1,1,1,1374,1343,5,20,119,415,10,19,1345,2,0,1,0,0
1955,886,27,0,0,0,0,0,1188,396,11,0,0,1928,4,3,908,1,4,1,2,1
1956,2352,25,1,0,1,24,6,1444,899,40,15,9,234,11,10,1725,1,1,4,5,1
1957,132,14,0,0,1,4,1,2135,1958,40,1,145,2039,0,5,933,4,4,1,2,1
1958,464,3,1,1,0,13,6,436,1026,17,7,662,487,11,17,537,0,0,0,0,0
1959,461,3,0,1,0,0,0,1800,1424,41,0,0,306,10,12,332,0,0,0,0,0
1960,1530,27,0,1,0,13,6,2483,1948,0,7,1006,2164,2,8,196,0,0,4,7,1
