id,Job_Title,jobCategory,Age,Gender,Status,Employee_Type,Educational_Level,experiance,Prefer_Shift,crossFunctionlTeamAreas,Training,Salary,Work_Hours,amountOfAutometedWorkEstimate,amountOfManualWorkEstimate,Leave_Per_Month
754,Cutter,C,18,Male,Married,Helper,Master's Degree,13,Other,Engineering,Formal pre entrence Training,23296.0,18,37,50,22
759,Screen Printer,C,28,Female,Married,Other,Junior College,18,Afternoon,Marketing,Formal pre entrence Training,12395.0,7,33,32,26
762,Packing,C,48,Female,Single,Part Time,Bsc,26,Other,Engineering,On the Job,14419.0,21,35,5,9
776,Machin oparator,C,17,Female,Single,Helper,Other,12,Night,Sales,Non Formal pre entrence Training,28128.0,14,36,17,1
797,mechanics,C,29,Male,Single,Other,Diploma,17,Other,Manufacturing,Mentoring,15609.0,13,41,65,27
810,Machin oparator,C,21,Female,Single,Other,Master's Degree,27,Other,Engineering,Mentoring,34233.0,4,25,66,23
825,mechanics,C,16,Male,Single,Part Time,Bsc,5,Afternoon,Marketing,On the Job,14267.0,23,70,13,18
828,Cutter,C,24,Female,Single,Part Time,Bsc,35,Afternoon,Manufacturing,Non Formal pre entrence Training,31018.0,20,55,90,10
835,Cutter,C,57,Female,Single,Helper,Junior College,20,Morning,Design,Non Formal pre entrence Training,21256.0,17,16,7,4
842,iron,C,33,Male,Single,Full time,Other,24,Night,QA,Other,20008.0,6,84,75,6
854,iron,C,45,Female,Single,Part Time,Bsc,12,Evening,Sales,Formal pre entrence Training,34607.0,21,75,3,14
856,Cutter,C,19,Female,Single,Part Time,Master's Degree,33,Afternoon,Manufacturing,Non Formal pre entrence Training,15841.0,23,18,79,22
873,Border,C,45,Female,Single,Other,Bsc,23,Morning,Material Purchacing,Other,9392.0,1,23,58,20
897,Border,C,25,Male,Married,Helper,Other,7,Morning,Design,Mentoring,24385.0,20,80,65,29
938,Cutter,C,29,Male,Single,Contractor,Bsc,4,Afternoon,Marketing,Formal pre entrence Training,23102.0,18,13,96,7
943,Cutter,C,36,Male,Single,Helper,Other,40,Night,Material Purchacing,Mentoring,11542.0,20,94,36,5
948,mechanics,C,29,Male,Married,Other,Master's Degree,16,Night,Manufacturing,Other,25572.0,14,78,24,19
962,Border,C,53,Male,Single,Full time,Master's Degree,20,Morning,Engineering,Formal pre entrence Training,28319.0,12,1,56,4
986,Screen Printer,C,59,Male,Single,Part Time,Junior College,9,Morning,Sales,On the Job,19074.0,12,77,70,4
1014,Border,C,22,Female,Married,Other,Diploma,39,Evening,QA,Mentoring,21506.0,19,23,30,28
1029,iron,C,36,Male,Married,Other,Other,42,Night,Engineering,Non Formal pre entrence Training,11196.0,22,37,100,23
1055,Border,C,31,Female,Single,Full time,Diploma,15,Afternoon,QA,Formal pre entrence Training,30442.0,7,59,55,15
1064,mechanics,C,35,Female,Married,Full time,Junior College,15,Evening,Marketing,Non Formal pre entrence Training,33463.0,13,76,89,15
1083,Cutter,C,41,Female,Married,Part Time,Master's Degree,12,Afternoon,QA,Formal pre entrence Training,9686.0,20,69,76,6
1086,mechanics,C,18,Male,Single,Full time,Junior College,39,Night,Material Purchacing,Other,17111.0,17,99,40,0
1112,Cutter,C,47,Female,Single,Other,Other,28,Other,Engineering,Other,24833.0,24,44,43,14
1131,Packing,C,38,Male,Married,Full time,Master's Degree,19,Other,Engineering,On the Job,9868.0,21,75,10,7
1138,mechanics,C,29,Female,Single,Helper,Other,43,Morning,Design,Non Formal pre entrence Training,13958.0,15,76,14,23
1144,Packing,C,34,Female,Single,Contractor,Junior College,10,Afternoon,Marketing,Mentoring,20774.0,11,89,7,24
1159,mechanics,C,18,Male,Single,Contractor,Master's Degree,2,Night,QA,Other,12132.0,23,70,77,12
1168,Border,C,30,Female,Single,Part Time,Other,21,Evening,Marketing,Formal pre entrence Training,27711.0,13,70,31,9
1171,Border,C,49,Female,Married,Contractor,Other,35,Afternoon,Marketing,Mentoring,28220.0,2,90,83,10
1184,Packing,C,52,Female,Single,Part Time,Diploma,38,Other,QA,Formal pre entrence Training,8466.0,24,5,49,11
1187,Cutter,C,40,Male,Single,Contractor,Other,35,Other,Marketing,Other,19453.0,19,54,88,27
1210,mechanics,C,54,Female,Married,Full time,Other,30,Evening,Design,Formal pre entrence Training,31383.0,4,68,54,13
1217,mechanics,C,49,Female,Single,Full time,Other,19,Night,Sales,On the Job,27967.0,5,59,92,29
1218,Packing,C,55,Male,Married,Helper,Diploma,40,Other,QA,Formal pre entrence Training,11329.0,23,64,71,6
1222,Packing,C,34,Male,Married,Part Time,Junior College,0,Night,Engineering,Mentoring,33901.0,20,46,62,5
1243,Machin oparator,C,36,Male,Married,Part Time,Junior College,14,Afternoon,Engineering,Non Formal pre entrence Training,20388.0,23,96,7,1
1261,Cutter,C,51,Female,Single,Part Time,Diploma,17,Morning,Design,Non Formal pre entrence Training,12839.0,2,32,40,11
1280,mechanics,C,34,Male,Married,Contractor,Other,26,Morning,Material Purchacing,Mentoring,13455.0,12,15,60,5
1282,Packing,C,24,Female,Married,Helper,Bsc,27,Night,QA,Non Formal pre entrence Training,34581.0,9,46,4,5
1302,iron,C,37,Female,Married,Helper,Bsc,43,Night,Design,Other,9781.0,10,88,82,6
1310,iron,C,28,Female,Single,Other,Diploma,29,Night,Engineering,Formal pre entrence Training,27273.0,1,26,19,2
1324,mechanics,C,20,Female,Married,Part Time,Bsc,18,Other,Manufacturing,Mentoring,20584.0,12,21,68,15
1334,mechanics,C,47,Female,Single,Contractor,Junior College,39,Evening,Marketing,Formal pre entrence Training,33025.0,15,4,7,13
1335,iron,C,17,Female,Single,Full time,Master's Degree,14,Other,Sales,Mentoring,20458.0,13,88,25,9
1342,iron,C,48,Female,Married,Full time,Other,28,Morning,QA,Non Formal pre entrence Training,22181.0,18,48,89,23
1351,Screen Printer,C,50,Male,Married,Contractor,Other,37,Afternoon,QA,Non Formal pre entrence Training,15781.0,3,19,64,0
1352,iron,C,57,Female,Single,Contractor,Diploma,16,Afternoon,Design,On the Job,23137.0,15,94,9,9
1354,Screen Printer,C,48,Female,Single,Other,Bsc,7,Afternoon,Manufacturing,Other,24441.0,5,100,92,0
1356,mechanics,C,43,Male,Single,Other,Diploma,0,Evening,Design,Mentoring,17062.0,5,34,21,29
1364,iron,C,37,Male,Married,Other,Master's Degree,19,Evening,Sales,Mentoring,15686.0,10,56,8,9
1379,Machin oparator,C,36,Male,Single,Full time,Other,39,Afternoon,QA,Mentoring,22406.0,20,79,40,25
1432,Machin oparator,C,44,Female,Single,Other,Junior College,19,Morning,Material Purchacing,Non Formal pre entrence Training,14646.0,16,51,87,14
1434,Screen Printer,C,29,Male,Single,Full time,Diploma,28,Night,Engineering,Mentoring,15766.0,1,20,26,13
1475,Cutter,C,45,Female,Single,Full time,Other,2,Evening,Marketing,Formal pre entrence Training,21514.0,18,63,29,11
1518,Border,C,22,Female,Single,Helper,Other,17,Night,Material Purchacing,Mentoring,16431.0,5,46,37,17
1524,Border,C,53,Female,Single,Other,Bsc,18,Afternoon,Manufacturing,Non Formal pre entrence Training,9429.0,12,88,53,23
1531,Packing,C,44,Male,Single,Contractor,Junior College,8,Evening,Material Purchacing,Non Formal pre entrence Training,20186.0,8,48,49,5
1575,Packing,C,21,Female,Married,Contractor,Master's Degree,20,Afternoon,Sales,Formal pre entrence Training,32833.0,15,23,30,11
1587,Screen Printer,C,21,Male,Single,Other,Master's Degree,18,Afternoon,Manufacturing,On the Job,28590.0,13,24,71,29
1592,Machin oparator,C,20,Female,Married,Other,Bsc,18,Evening,Design,On the Job,13302.0,3,83,70,15
1595,Machin oparator,C,39,Female,Married,Part Time,Master's Degree,9,Afternoon,Sales,Other,31967.0,4,81,92,22
1606,Screen Printer,C,49,Male,Single,Helper,Other,30,Night,Sales,Mentoring,34758.0,10,53,77,22
1613,mechanics,C,54,Male,Married,Full time,Other,12,Other,Material Purchacing,Mentoring,21669.0,17,64,44,18
1618,Packing,C,40,Male,Single,Part Time,Other,18,Afternoon,Material Purchacing,On the Job,27459.0,4,38,54,26
1631,Cutter,C,31,Female,Single,Other,Master's Degree,31,Morning,Manufacturing,Other,34523.0,6,75,23,15
1633,Cutter,C,47,Male,Single,Helper,Master's Degree,1,Afternoon,Design,Other,21332.0,4,30,60,28
1652,mechanics,C,37,Female,Single,Helper,Bsc,41,Evening,Sales,Mentoring,7546.0,12,66,63,26
1657,Cutter,C,59,Female,Single,Full time,Master's Degree,34,Other,Sales,Non Formal pre entrence Training,11863.0,18,11,29,2
1686,Packing,C,57,Female,Single,Contractor,Junior College,42,Afternoon,Design,Formal pre entrence Training,9483.0,19,89,91,26
1705,iron,C,24,Male,Single,Other,Bsc,29,Morning,QA,Mentoring,13587.0,12,11,36,7
1711,Cutter,C,32,Female,Married,Contractor,Junior College,6,Evening,Manufacturing,Other,17763.0,1,78,6,13
1715,mechanics,C,29,Male,Single,Other,Bsc,36,Night,Marketing,On the Job,34668.0,13,6,83,3
1728,Packing,C,36,Male,Married,Contractor,Diploma,1,Evening,Design,Formal pre entrence Training,24323.0,23,95,67,6
1729,iron,C,44,Female,Single,Full time,Other,26,Other,Engineering,On the Job,21798.0,20,97,54,28
1744,Cutter,C,22,Male,Married,Other,Bsc,17,Afternoon,QA,On the Job,14885.0,18,6,73,13
1764,Machin oparator,C,42,Female,Single,Contractor,Other,21,Night,Sales,Other,27541.0,10,41,42,10
1782,Border,C,33,Male,Married,Other,Other,41,Other,Engineering,Mentoring,31892.0,22,28,92,14
1784,Screen Printer,C,59,Male,Married,Other,Diploma,36,Other,Manufacturing,On the Job,17421.0,5,66,44,19
1794,Cutter,C,47,Female,Married,Part Time,Bsc,2,Night,Design,On the Job,23473.0,9,79,93,0
1825,Screen Printer,C,41,Male,Married,Contractor,Other,5,Other,QA,Non Formal pre entrence Training,22618.0,14,33,78,2
1833,Packing,C,44,Male,Single,Full time,Diploma,17,Night,Sales,Mentoring,22554.0,14,81,41,15
1835,Packing,C,43,Female,Married,Full time,Diploma,13,Evening,Sales,Formal pre entrence Training,13075.0,12,53,86,22
1840,Screen Printer,C,23,Female,Married,Full time,Diploma,0,Afternoon,QA,Mentoring,10413.0,14,81,8,7
1852,Machin oparator,C,30,Female,Married,Contractor,Junior College,26,Night,Engineering,On the Job,23564.0,12,27,52,16
1853,Screen Printer,C,19,Male,Married,Helper,Other,5,Morning,QA,Other,8663.0,4,92,30,19
1860,Packing,C,31,Female,Married,Helper,Master's Degree,5,Evening,Material Purchacing,Formal pre entrence Training,17140.0,10,8,78,19
1862,Cutter,C,22,Female,Married,Part Time,Other,25,Other,Manufacturing,Formal pre entrence Training,12766.0,17,55,21,12
1876,Screen Printer,C,26,Female,Single,Helper,Master's Degree,11,Morning,Sales,Non Formal pre entrence Training,13377.0,8,48,42,29
1881,Packing,C,28,Male,Married,Contractor,Diploma,17,Morning,Manufacturing,Mentoring,34586.0,3,53,35,29
1882,mechanics,C,43,Male,Single,Part Time,Junior College,6,Morning,Engineering,Non Formal pre entrence Training,21218.0,4,68,53,14
1903,iron,C,24,Female,Married,Helper,Diploma,20,Night,Engineering,Mentoring,11354.0,1,93,24,7
1917,Cutter,C,49,Male,Married,Other,Junior College,32,Other,Design,Mentoring,16149.0,1,33,48,7
1921,Cutter,C,38,Female,Single,Contractor,Other,4,Evening,Marketing,On the Job,33428.0,16,52,76,8
1934,Border,C,23,Female,Married,Helper,Bsc,41,Morning,Sales,Non Formal pre entrence Training,22748.0,9,75,87,23
1938,Border,C,57,Female,Married,Full time,Bsc,29,Night,QA,Formal pre entrence Training,10224.0,17,8,63,5
1957,Screen Printer,C,38,Male,Single,Full time,Master's Degree,1,Morning,Sales,Formal pre entrence Training,22562.0,9,49,83,7
1964,Screen Printer,C,31,Female,Married,Contractor,Junior College,37,Night,Design,Mentoring,8867.0,24,54,82,21
1973,Border,C,18,Female,Single,Other,Diploma,40,Afternoon,Manufacturing,Non Formal pre entrence Training,16104.0,1,62,82,7
1981,Screen Printer,C,33,Female,Married,Helper,Master's Degree,36,Afternoon,Marketing,On the Job,25945.0,3,45,27,19
1999,mechanics,C,49,Male,Married,Part Time,Diploma,11,Morning,Engineering,Non Formal pre entrence Training,14220.0,2,17,45,0
2017,Screen Printer,C,42,Male,Married,Other,Bsc,16,Other,QA,Formal pre entrence Training,32760.0,4,38,36,0
2029,Packing,C,31,Male,Married,Contractor,Diploma,18,Evening,Engineering,Other,18394.0,10,95,81,23
2032,Cutter,C,48,Male,Single,Other,Other,27,Morning,Design,On the Job,24689.0,1,85,81,29
2034,Screen Printer,C,50,Female,Single,Part Time,Diploma,10,Other,Marketing,Non Formal pre entrence Training,18693.0,3,86,49,23
2042,Machin oparator,C,20,Female,Married,Helper,Master's Degree,35,Morning,Marketing,On the Job,27771.0,10,35,59,4
2065,Machin oparator,C,31,Male,Single,Full time,Junior College,9,Morning,Material Purchacing,Formal pre entrence Training,17225.0,18,2,90,6
2097,Packing,C,26,Male,Single,Contractor,Junior College,27,Other,Marketing,Formal pre entrence Training,30286.0,7,31,58,11
2114,Cutter,C,28,Male,Single,Other,Bsc,31,Other,Engineering,Mentoring,28909.0,1,83,13,11
2129,Border,C,41,Female,Married,Part Time,Other,0,Afternoon,Engineering,Other,24407.0,18,79,21,10
2143,Screen Printer,C,31,Male,Single,Other,Diploma,41,Evening,Manufacturing,Non Formal pre entrence Training,32271.0,7,47,10,16
2148,mechanics,C,57,Female,Married,Part Time,Bsc,35,Other,Manufacturing,Formal pre entrence Training,11622.0,13,72,87,27
2154,iron,C,40,Male,Single,Other,Diploma,8,Other,Marketing,On the Job,17765.0,19,51,50,29
2178,Screen Printer,C,40,Male,Married,Contractor,Junior College,6,Night,QA,On the Job,9095.0,13,57,34,5
2181,Screen Printer,C,40,Female,Married,Other,Other,18,Morning,Engineering,Non Formal pre entrence Training,20228.0,6,19,60,15
2239,Screen Printer,C,50,Female,Single,Part Time,Diploma,6,Evening,Material Purchacing,Non Formal pre entrence Training,22180.0,18,71,7,3
2259,Border,C,41,Female,Married,Full time,Bsc,28,Evening,Material Purchacing,Mentoring,29038.0,20,16,6,11
2292,mechanics,C,26,Female,Married,Part Time,Junior College,12,Morning,Marketing,Non Formal pre entrence Training,13113.0,22,35,73,8
2296,Screen Printer,C,44,Male,Single,Part Time,Master's Degree,18,Night,Manufacturing,Other,8186.0,10,40,85,29
2309,Packing,C,54,Female,Married,Contractor,Diploma,2,Evening,QA,Non Formal pre entrence Training,8870.0,9,91,28,28
2310,Packing,C,41,Female,Single,Contractor,Other,9,Night,Sales,Mentoring,26868.0,6,42,57,4
2358,Border,C,25,Female,Married,Full time,Diploma,18,Evening,Material Purchacing,On the Job,14311.0,18,95,40,6
2377,mechanics,C,38,Female,Single,Other,Master's Degree,7,Other,QA,Other,29696.0,18,64,47,27
2382,Screen Printer,C,54,Female,Single,Helper,Other,39,Night,Engineering,Non Formal pre entrence Training,29158.0,5,66,39,19
2422,Machin oparator,C,56,Female,Single,Part Time,Master's Degree,35,Afternoon,QA,Non Formal pre entrence Training,16073.0,3,78,95,4
2425,Cutter,C,24,Male,Single,Other,Diploma,2,Night,Manufacturing,Other,17031.0,6,62,91,28
2433,Screen Printer,C,25,Male,Single,Helper,Other,26,Night,Engineering,Other,7737.0,10,73,1,18
2439,Machin oparator,C,54,Female,Married,Contractor,Other,36,Morning,Design,Formal pre entrence Training,17278.0,9,96,2,27
2440,Screen Printer,C,34,Male,Married,Other,Master's Degree,28,Evening,Manufacturing,On the Job,30745.0,19,50,80,28
2453,Packing,C,42,Male,Married,Contractor,Bsc,28,Afternoon,QA,Formal pre entrence Training,8265.0,8,65,38,15
2482,Machin oparator,C,51,Male,Married,Helper,Bsc,41,Other,Manufacturing,Mentoring,27639.0,4,37,12,15
2496,mechanics,C,30,Female,Married,Other,Other,21,Evening,Engineering,Non Formal pre entrence Training,30016.0,24,4,10,8
2500,Machin oparator,C,52,Female,Married,Other,Bsc,6,Evening,QA,Other,22973.0,11,74,65,8
2501,mechanics,C,35,Male,Single,Part Time,Bsc,23,Morning,Material Purchacing,Non Formal pre entrence Training,12924.0,14,19,63,15
2509,Packing,C,38,Male,Single,Contractor,Diploma,25,Morning,Manufacturing,Formal pre entrence Training,11936.0,5,61,98,12
2524,Screen Printer,C,26,Female,Married,Part Time,Diploma,33,Morning,QA,Mentoring,33182.0,12,35,12,28
2530,iron,C,49,Male,Married,Contractor,Other,32,Night,Manufacturing,Other,29480.0,18,61,45,16
2535,Packing,C,23,Female,Single,Part Time,Other,39,Morning,Manufacturing,Other,11175.0,5,54,98,14
2554,Border,C,20,Female,Single,Helper,Diploma,11,Morning,QA,Mentoring,28243.0,9,76,93,21
2559,Cutter,C,50,Male,Married,Other,Junior College,9,Night,Material Purchacing,Formal pre entrence Training,13433.0,19,33,26,18
2571,Cutter,C,35,Male,Married,Part Time,Master's Degree,34,Evening,Material Purchacing,Other,30132.0,15,95,18,1
2574,Screen Printer,C,50,Female,Married,Helper,Other,2,Morning,Design,Non Formal pre entrence Training,11288.0,21,69,42,16
2582,Packing,C,42,Male,Single,Contractor,Bsc,33,Night,QA,On the Job,15168.0,20,87,17,10
2583,Packing,C,22,Male,Married,Helper,Master's Degree,42,Evening,Engineering,Mentoring,8387.0,16,81,50,25
2595,iron,C,35,Female,Single,Helper,Master's Degree,22,Night,Manufacturing,Other,14653.0,21,28,69,15
2600,mechanics,C,25,Female,Married,Part Time,Diploma,14,Afternoon,Sales,On the Job,15369.0,19,95,92,4
2606,Cutter,C,26,Female,Single,Full time,Other,43,Afternoon,Engineering,Formal pre entrence Training,30664.0,5,51,96,2
2617,Cutter,C,54,Female,Married,Other,Bsc,29,Night,Sales,Non Formal pre entrence Training,15307.0,3,37,11,9
2621,Machin oparator,C,58,Male,Single,Other,Bsc,40,Night,Material Purchacing,Non Formal pre entrence Training,34358.0,1,79,51,23
2628,Cutter,C,20,Male,Married,Part Time,Junior College,28,Other,Sales,Formal pre entrence Training,33939.0,22,37,31,9
2634,Cutter,C,41,Male,Married,Other,Junior College,28,Other,QA,Mentoring,19446.0,24,62,9,27
2659,Packing,C,41,Female,Single,Other,Junior College,10,Evening,Sales,On the Job,9903.0,20,15,73,29
2664,Packing,C,17,Male,Single,Contractor,Junior College,38,Afternoon,Sales,Other,7854.0,3,67,12,15
2670,Packing,C,33,Male,Single,Part Time,Other,10,Morning,Material Purchacing,Formal pre entrence Training,8425.0,1,34,86,17
2671,iron,C,35,Female,Single,Other,Bsc,23,Other,Marketing,On the Job,21895.0,5,53,36,20
2679,Machin oparator,C,57,Male,Single,Helper,Bsc,42,Evening,Marketing,Other,24901.0,2,56,17,25
2683,mechanics,C,24,Female,Single,Full time,Diploma,19,Night,Design,Mentoring,19958.0,21,48,45,4
2692,Cutter,C,18,Male,Married,Part Time,Master's Degree,27,Morning,QA,Non Formal pre entrence Training,18244.0,3,20,94,7
2693,Machin oparator,C,36,Male,Single,Other,Junior College,5,Morning,Sales,Formal pre entrence Training,18353.0,21,95,73,1
2714,mechanics,C,43,Male,Single,Full time,Master's Degree,41,Afternoon,Sales,Formal pre entrence Training,18860.0,23,64,99,26
2723,Cutter,C,28,Female,Married,Part Time,Master's Degree,35,Morning,Manufacturing,Other,32252.0,24,58,21,20
2729,mechanics,C,33,Female,Married,Part Time,Diploma,36,Evening,Material Purchacing,Formal pre entrence Training,8670.0,11,26,16,2
2742,Packing,C,16,Female,Single,Helper,Master's Degree,34,Other,Design,On the Job,10414.0,3,23,17,17
2747,Packing,C,53,Female,Married,Other,Master's Degree,41,Evening,Manufacturing,Non Formal pre entrence Training,20225.0,16,18,8,8
2766,iron,C,55,Female,Married,Part Time,Other,25,Night,QA,Formal pre entrence Training,20452.0,6,11,56,2
2781,Border,C,33,Female,Single,Other,Master's Degree,38,Morning,Engineering,Other,25995.0,3,72,14,16
2809,Machin oparator,C,55,Male,Married,Contractor,Master's Degree,24,Evening,Marketing,Mentoring,25035.0,17,18,73,19
2828,Border,C,50,Female,Single,Full time,Junior College,12,Afternoon,Marketing,Mentoring,32638.0,2,53,11,24
2845,Cutter,C,29,Male,Married,Other,Junior College,6,Other,Engineering,Formal pre entrence Training,29135.0,14,37,98,18
2851,mechanics,C,42,Male,Married,Full time,Junior College,42,Night,Material Purchacing,Other,10406.0,4,30,85,2
2854,Packing,C,47,Male,Married,Part Time,Master's Degree,2,Evening,QA,Non Formal pre entrence Training,7518.0,18,34,41,14
2886,Packing,C,42,Male,Single,Full time,Diploma,28,Night,Engineering,Mentoring,31317.0,18,63,45,16
2921,Packing,C,46,Female,Married,Part Time,Diploma,38,Evening,Material Purchacing,On the Job,9345.0,19,64,6,29
2923,Machin oparator,C,51,Male,Married,Helper,Other,35,Evening,Engineering,On the Job,25026.0,14,30,61,1
2929,Machin oparator,C,42,Female,Married,Full time,Diploma,43,Afternoon,Manufacturing,Formal pre entrence Training,33199.0,19,98,66,6
